bot,calls,total_time_sec,avg_time_per_call_sec
a_expectimax2,14539,495.0635234354995,0.03405072724640618
a_expectimax1,12672,20.281863666372374,0.0016005258575104461
safe_capture_bot,12965,0.8007547232555225,6.176280163945411e-05
greedy_bot,11972,0.5853047342970967,4.8889469954652246e-05
balanced_bot,12316,0.40968467853963375,3.326442664336097e-05
capture_bot,15799,0.172022141283378,1.0888166420873347e-05
rosette_bot,14094,0.09585911268368363,6.801412848281796e-06
greedy_finish_bot,12720,0.07189143402501941,5.651842297564419e-06
progress_bot,17555,0.09246985288336873,5.267436791989105e-06
random_bot,14079,0.06849464063998312,4.8650217089269916e-06
